condition,class,AP5095,AP50,AP75,AP_small,AP_medium,AP_large,AR100,AR10,AR1,AR_small,AR_medium,AR_large,n_gt
clone,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490
clone,truck,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,120
clone,van,0.0004787364904123795,0.002053422837169389,0.0002620299837167082,,0.0019392513802825072,,0.06333333333333332,0.0,0.0,,0.06333333333333332,,150
fog,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490
fog,truck,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,120
fog,van,0.0008351926235447997,0.0024752475247524753,0.0006482791136256481,,0.001477917188270551,,0.10333333333333335,0.0,0.0,,0.10333333333333335,,150
morning,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490
morning,truck,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,120
morning,van,0.00019766433140143896,0.001322804345211849,0.0,,0.001061110209381594,,0.01666666666666667,0.0,0.0,,0.01666666666666667,,150
rain,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490
rain,truck,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,120
rain,van,0.0004668536751158807,0.002040791217984799,0.0002655437957588862,,0.001785594526221368,,0.06666666666666668,0.0,0.0,,0.06666666666666668,,150
overcast,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490
overcast,truck,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,120
overcast,van,0.0016536405830423556,0.004201598941819525,0.001653406990993795,,0.004046454732581272,,0.14666666666666667,0.0,0.0,,0.14666666666666667,,150
sunset,car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490
sunset,truck,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,120
sunset,van,0.0004774692619825336,0.0020769721228888344,0.00025340742483754777,,0.002257457944770862,,0.06666666666666668,0.0,0.0,,0.06666666666666668,,150
